start_state_mm,step,remaining_passes_before,rpra_state_before_mm,online_state_before_mm,rpra_action_mm,online_action_mm,rpra_immediate_deflection_um,online_immediate_deflection_um,rpra_successor_mm,online_successor_mm,online_discrete_class,rpra_continuous_status,online_continuous_status,rpra_step_status,online_step_status,disagreement_classification,is_first_decision_disagreement
4.419,1,3,4.419,4.419,0.482,,69.16807526135294,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.42,1,3,4.42,4.42,0.483,,69.34421206246495,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.421,1,3,4.421,4.421,0.484,,69.52044424779127,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.422,1,3,4.422,4.422,0.485,,69.69677169124638,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.423,1,3,4.423,4.423,0.486,,69.87319426711854,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.424,1,3,4.424,4.424,0.487,,70.04971185006823,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.425,1,3,4.425,4.425,0.488,,70.22632431512572,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.426,1,3,4.426,4.426,0.489,,70.40303153768883,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.427,1,3,4.427,4.427,0.49,,70.57983339352239,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.428,1,3,4.428,4.428,0.491,,70.75672975875528,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.429,1,3,4.429,4.429,0.492,,70.93372050987885,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.43,1,3,4.43,4.43,0.493,,71.11080552374565,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.431,1,3,4.431,4.431,0.494,,71.28798467756593,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.432,1,3,4.432,4.432,0.495,,71.46525784890817,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.433,1,3,4.433,4.433,0.496,,71.64262491569566,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.434,1,3,4.434,4.434,0.497,,71.82008575620523,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.435,1,3,4.435,4.435,0.498,,71.9976402490655,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.436,1,3,4.436,4.436,0.499,,72.17528827325498,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.437,1,3,4.437,4.437,0.5,,72.35302970810072,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.438,1,3,4.438,4.438,0.501,,72.53086443327551,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.439,1,3,4.439,4.439,0.502,,72.70879232879778,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.44,1,3,4.44,4.44,0.503,,72.88681327502869,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.441,1,3,4.441,4.441,0.504,,73.06492715267073,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.442,1,3,4.442,4.442,0.505,,73.24313384276653,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.443,1,3,4.443,4.443,0.506,,73.42143322669587,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.444,1,3,4.444,4.444,0.507,,73.59982518617569,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.445,1,3,4.445,4.445,0.508,,73.77830960325744,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.446,1,3,4.446,4.446,0.509,,73.95688636032565,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.447,1,3,4.447,4.447,0.51,,74.13555534009637,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.448,1,3,4.448,4.448,0.511,,74.31431642561535,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.449,1,3,4.449,4.449,0.512,,74.49316950025707,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.45,1,3,4.45,4.45,0.513,,74.67211444772173,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.451,1,3,4.451,4.451,0.514,,74.85115115203553,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.452,1,3,4.452,4.452,0.515,,75.03027949754768,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.453,1,3,4.453,4.453,0.516,,75.20949936892963,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.454,1,3,4.454,4.454,0.517,,75.38881065117336,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.455,1,3,4.455,4.455,0.518,,75.56821322958875,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.456,1,3,4.456,4.456,0.519,,75.74770698980423,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.457,1,3,4.457,4.457,0.52,,75.92729181776332,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.458,1,3,4.458,4.458,0.521,,76.10696759972423,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.459,1,3,4.459,4.459,0.522,,76.28673422225766,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.46,1,3,4.46,4.46,0.523,,76.4665915722459,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.461,1,3,4.461,4.461,0.524,,76.64653953688114,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.462,1,3,4.462,4.462,0.525,,76.8265780036633,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.463,1,3,4.463,4.463,0.526,,77.0067068604,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.464,1,3,4.464,4.464,0.527,,77.18692599520384,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.465,1,3,4.465,4.465,0.528,,77.36723529649178,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.466,1,3,4.466,4.466,0.529,,77.54763465298348,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.467,1,3,4.467,4.467,0.53,,77.72812395369895,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.468,1,3,4.468,4.468,0.531,,77.90870308795876,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.469,1,3,4.469,4.469,0.532,,78.0893719453818,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.47,1,3,4.47,4.47,0.533,,78.27013041588366,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.471,1,3,4.471,4.471,0.534,,78.45097838967553,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.472,1,3,4.472,4.472,0.535,,78.63191575726316,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.473,1,3,4.473,4.473,0.536,,78.81294240944503,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.474,1,3,4.474,4.474,0.537,,78.99405823731051,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.475,1,3,4.475,4.475,0.538,,79.17526313223993,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
