state_order,state_mm,remaining_passes,rpra_action_mm,rpra_immediate_deflection_um,rpra_successor_mm,rpra_discrete_class,rpra_selected_continuous_status,rpra_selected_continuous_detail,online_decision_status,online_action_mm,online_immediate_deflection_um,online_successor_mm,online_discrete_class,online_selected_continuous_status,exact_action_agreement,signed_action_delta_um_online_minus_rpra,absolute_action_difference_um,immediate_deflection_delta_um_online_minus_rpra,online_local_candidate_count,online_continuous_solve_calls,online_downstream_pass_count_evaluated,online_downstream_fail_count_evaluated,online_downstream_unresolved_count_evaluated
36,4.216,3,0.36,51.55541994043291,3.856,PRESERVING,PASS,continuous_reference,PASS,0.36,51.55541994043291,3.856,PRESERVING,PASS,True,0,0,0.0,37,1,1,0,0
37,4.217,3,0.36,51.515330191109136,3.857,PRESERVING,PASS,continuous_reference,PASS,0.36,51.515330191109136,3.857,PRESERVING,PASS,True,0,0,0.0,38,1,1,0,0
38,4.218,3,0.36,51.475281996330175,3.858,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,39,1,0,0,1
39,4.219,3,0.36,51.43527530226886,3.859,PRESERVING,PASS,continuous_reference,PASS,0.36,51.43527530226886,3.859,PRESERVING,PASS,True,0,0,0.0,40,1,1,0,0
40,4.22,3,0.36,51.39531005518171,3.86,PRESERVING,PASS,continuous_reference,PASS,0.36,51.39531005518171,3.86,PRESERVING,PASS,True,0,0,0.0,41,1,1,0,0
41,4.221,3,0.36,51.35538620140876,3.861,PRESERVING,PASS,continuous_reference,PASS,0.36,51.35538620140876,3.861,PRESERVING,PASS,True,0,0,0.0,42,1,1,0,0
42,4.222,3,0.36,51.315503687373365,3.862,PRESERVING,PASS,continuous_reference,PASS,0.36,51.315503687373365,3.862,PRESERVING,PASS,True,0,0,0.0,43,1,1,0,0
43,4.223,3,0.36,51.275662459582094,3.863,PRESERVING,PASS,continuous_reference,PASS,0.36,51.275662459582094,3.863,PRESERVING,PASS,True,0,0,0.0,44,1,1,0,0
44,4.224,3,0.36,51.2358624646245,3.864,PRESERVING,PASS,continuous_reference,PASS,0.36,51.2358624646245,3.864,PRESERVING,PASS,True,0,0,0.0,45,1,1,0,0
45,4.225,3,0.36,51.196103649173104,3.865,PRESERVING,PASS,continuous_reference,PASS,0.36,51.196103649173104,3.865,PRESERVING,PASS,True,0,0,0.0,46,1,1,0,0
46,4.226,3,0.36,51.15638595998316,3.866,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,47,1,0,0,1
47,4.227,3,0.36,51.11670934389245,3.867,PRESERVING,PASS,continuous_reference,PASS,0.36,51.11670934389245,3.867,PRESERVING,PASS,True,0,0,0.0,48,1,1,0,0
48,4.228,3,0.36,51.077073747821274,3.868,PRESERVING,PASS,continuous_reference,PASS,0.36,51.077073747821274,3.868,PRESERVING,PASS,True,0,0,0.0,49,1,1,0,0
49,4.229,3,0.36,51.03747911877214,3.869,PRESERVING,PASS,continuous_reference,PASS,0.36,51.03747911877214,3.869,PRESERVING,PASS,True,0,0,0.0,50,1,1,0,0
50,4.23,3,0.36,50.99792540382983,3.87,PRESERVING,PASS,continuous_reference,PASS,0.36,50.99792540382983,3.87,PRESERVING,PASS,True,0,0,0.0,51,1,1,0,0
51,4.231,3,0.36,50.958412550161015,3.871,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,52,1,0,0,1
52,4.232,3,0.36,50.918940505014255,3.872,PRESERVING,PASS,continuous_reference,PASS,0.36,50.918940505014255,3.872,PRESERVING,PASS,True,0,0,0.0,53,1,1,0,0
53,4.233,3,0.36,50.87950921571976,3.873,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,54,1,0,0,1
54,4.234,3,0.36,50.84011862968941,3.874,PRESERVING,PASS,continuous_reference,PASS,0.36,50.84011862968941,3.874,PRESERVING,PASS,True,0,0,0.0,55,1,1,0,0
55,4.235,3,0.36,50.80076869441637,3.875,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,56,1,0,0,1
56,4.236,3,0.36,50.761459357475125,3.876,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,57,1,0,0,1
57,4.237,3,0.36,50.72219056652126,3.877,PRESERVING,PASS,continuous_reference,PASS,0.36,50.72219056652126,3.877,PRESERVING,PASS,True,0,0,0.0,58,1,1,0,0
58,4.238,3,0.36,50.68296226929129,3.878,PRESERVING,PASS,continuous_reference,PASS,0.36,50.68296226929129,3.878,PRESERVING,PASS,True,0,0,0.0,59,1,1,0,0
59,4.239,3,0.36,50.64377441360266,3.879,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,60,1,0,0,1
60,4.24,3,0.36,50.604626947353346,3.88,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,61,1,0,0,1
61,4.241,3,0.36,50.56551981852196,3.881,PRESERVING,PASS,continuous_reference,PASS,0.36,50.56551981852196,3.881,PRESERVING,PASS,True,0,0,0.0,62,1,1,0,0
62,4.242,3,0.36,50.526452975167395,3.882,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,63,1,0,0,1
63,4.243,3,0.36,50.487426365428945,3.883,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,64,1,0,0,1
64,4.244,3,0.36,50.44843993752582,3.884,PRESERVING,PASS,continuous_reference,PASS,0.36,50.44843993752582,3.884,PRESERVING,PASS,True,0,0,0.0,65,1,1,0,0
65,4.245,3,0.36,50.40949363975729,3.885,PRESERVING,PASS,continuous_reference,PASS,0.36,50.40949363975729,3.885,PRESERVING,PASS,True,0,0,0.0,66,1,1,0,0
66,4.246,3,0.36,50.37058742050237,3.886,PRESERVING,PASS,continuous_reference,PASS,0.36,50.37058742050237,3.886,PRESERVING,PASS,True,0,0,0.0,67,1,1,0,0
67,4.247,3,0.36,50.3317212282198,3.887,PRESERVING,PASS,continuous_reference,PASS,0.36,50.3317212282198,3.887,PRESERVING,PASS,True,0,0,0.0,68,1,1,0,0
68,4.248,3,0.36,50.29289501144779,3.888,PRESERVING,PASS,continuous_reference,PASS,0.36,50.29289501144779,3.888,PRESERVING,PASS,True,0,0,0.0,69,1,1,0,0
69,4.249,3,0.36,50.25410871880395,3.889,PRESERVING,PASS,continuous_reference,PASS,0.36,50.25410871880395,3.889,PRESERVING,PASS,True,0,0,0.0,70,1,1,0,0
70,4.25,3,0.36,50.215362298985056,3.89,PRESERVING,PASS,continuous_reference,PASS,0.36,50.215362298985056,3.89,PRESERVING,PASS,True,0,0,0.0,71,1,1,0,0
71,4.251,3,0.36,50.17665570076711,3.891,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,72,1,0,0,1
72,4.252,3,0.36,50.13798887300495,3.892,PRESERVING,PASS,continuous_reference,PASS,0.36,50.13798887300495,3.892,PRESERVING,PASS,True,0,0,0.0,73,1,1,0,0
73,4.253,3,0.36,50.09936176463223,3.893,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,74,1,0,0,1
74,4.254,3,0.36,50.06077432466129,3.894,PRESERVING,PASS,continuous_reference,PASS,0.36,50.06077432466129,3.894,PRESERVING,PASS,True,0,0,0.0,75,1,1,0,0
75,4.255,3,0.36,50.02222650218303,3.895,PRESERVING,PASS,continuous_reference,PASS,0.36,50.02222650218303,3.895,PRESERVING,PASS,True,0,0,0.0,76,1,1,0,0
76,4.256,3,0.36,49.983718246366685,3.896,PRESERVING,PASS,continuous_reference,PASS,0.36,49.983718246366685,3.896,PRESERVING,PASS,True,0,0,0.0,77,1,1,0,0
77,4.257,3,0.36,49.94524950645972,3.897,PRESERVING,PASS,continuous_reference,PASS,0.36,49.94524950645972,3.897,PRESERVING,PASS,True,0,0,0.0,78,1,1,0,0
78,4.258,3,0.36,49.906820231787734,3.898,PRESERVING,PASS,continuous_reference,PASS,0.36,49.906820231787734,3.898,PRESERVING,PASS,True,0,0,0.0,79,1,1,0,0
79,4.259,3,0.36,49.86843037175427,3.899,PRESERVING,PASS,continuous_reference,PASS,0.36,49.86843037175427,3.899,PRESERVING,PASS,True,0,0,0.0,80,1,1,0,0
80,4.26,3,0.36,49.83007987584073,3.9,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,81,1,0,0,1
81,4.261,3,0.36,49.79176869360613,3.901,PRESERVING,PASS,continuous_reference,PASS,0.36,49.79176869360613,3.901,PRESERVING,PASS,True,0,0,0.0,82,1,1,0,0
82,4.262,3,0.36,49.75349677468705,3.902,PRESERVING,PASS,continuous_reference,PASS,0.36,49.75349677468705,3.902,PRESERVING,PASS,True,0,0,0.0,83,1,1,0,0
83,4.263,3,0.36,49.71526406879751,3.903,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,84,1,0,0,1
84,4.264,3,0.36,49.67707052572877,3.904,PRESERVING,PASS,continuous_reference,PASS,0.36,49.67707052572877,3.904,PRESERVING,PASS,True,0,0,0.0,85,1,1,0,0
85,4.265,3,0.36,49.638916095349224,3.905,PRESERVING,PASS,continuous_reference,PASS,0.36,49.638916095349224,3.905,PRESERVING,PASS,True,0,0,0.0,86,1,1,0,0
86,4.266,3,0.36,49.60080072760419,3.906,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,87,1,0,0,1
87,4.267,3,0.36,49.56272437251595,3.907,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,88,1,0,0,1
88,4.268,3,0.36,49.52468698018341,3.908,PRESERVING,PASS,continuous_reference,PASS,0.36,49.52468698018341,3.908,PRESERVING,PASS,True,0,0,0.0,89,1,1,0,0
89,4.269,3,0.36,49.48668850078208,3.909,PRESERVING,PASS,continuous_reference,PASS,0.36,49.48668850078208,3.909,PRESERVING,PASS,True,0,0,0.0,90,1,1,0,0
90,4.27,3,0.36,49.4487288845639,3.91,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,91,1,0,0,1
91,4.271,3,0.36,49.41080808185711,3.911,PRESERVING,PASS,continuous_reference,PASS,0.36,49.41080808185711,3.911,PRESERVING,PASS,True,0,0,0.0,92,1,1,0,0
92,4.272,3,0.36,49.37292604306616,3.912,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,93,1,0,0,1
93,4.273,3,0.36,49.335082718671444,3.913,PRESERVING,PASS,continuous_reference,PASS,0.36,49.335082718671444,3.913,PRESERVING,PASS,True,0,0,0.0,94,1,1,0,0
94,4.274,3,0.36,49.29727805922929,3.914,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,95,1,0,0,1
95,4.275,3,0.36,49.25951201537183,3.915,PRESERVING,PASS,continuous_reference,PASS,0.36,49.25951201537183,3.915,PRESERVING,PASS,True,0,0,0.0,96,1,1,0,0
96,4.276,3,0.36,49.221784537806734,3.916,PRESERVING,PASS,continuous_reference,PASS,0.36,49.221784537806734,3.916,PRESERVING,PASS,True,0,0,0.0,97,1,1,0,0
97,4.277,3,0.36,49.18409557731721,3.917,PRESERVING,PASS,continuous_reference,PASS,0.36,49.18409557731721,3.917,PRESERVING,PASS,True,0,0,0.0,98,1,1,0,0
98,4.278,3,0.36,49.14644508476175,3.918,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,99,1,0,0,1
99,4.279,3,0.36,49.108833011074196,3.919,PRESERVING,PASS,continuous_reference,PASS,0.36,49.108833011074196,3.919,PRESERVING,PASS,True,0,0,0.0,100,1,1,0,0
100,4.28,3,0.36,49.071259307263354,3.92,PRESERVING,PASS,continuous_reference,PASS,0.36,49.071259307263354,3.92,PRESERVING,PASS,True,0,0,0.0,101,1,1,0,0
101,4.281,3,0.36,49.03372392441303,3.921,PRESERVING,PASS,continuous_reference,PASS,0.36,49.03372392441303,3.921,PRESERVING,PASS,True,0,0,0.0,102,1,1,0,0
102,4.282,3,0.36,48.99622681368178,3.922,PRESERVING,PASS,continuous_reference,PASS,0.36,48.99622681368178,3.922,PRESERVING,PASS,True,0,0,0.0,103,1,1,0,0
103,4.283,3,0.36,48.958767926302954,3.923,PRESERVING,PASS,continuous_reference,PASS,0.36,48.958767926302954,3.923,PRESERVING,PASS,True,0,0,0.0,104,1,1,0,0
104,4.284,3,0.36,48.92134721358435,3.924,PRESERVING,PASS,continuous_reference,PASS,0.36,48.92134721358435,3.924,PRESERVING,PASS,True,0,0,0.0,105,1,1,0,0
105,4.285,3,0.36,48.88396462690824,3.925,PRESERVING,PASS,continuous_reference,PASS,0.36,48.88396462690824,3.925,PRESERVING,PASS,True,0,0,0.0,106,1,1,0,0
106,4.286,3,0.36,48.84662011773112,3.926,PRESERVING,PASS,continuous_reference,PASS,0.36,48.84662011773112,3.926,PRESERVING,PASS,True,0,0,0.0,107,1,1,0,0
107,4.287,3,0.36,48.80931363758369,3.927,PRESERVING,PASS,continuous_reference,PASS,0.36,48.80931363758369,3.927,PRESERVING,PASS,True,0,0,0.0,108,1,1,0,0
108,4.288,3,0.36,48.77204513807068,3.928,PRESERVING,PASS,continuous_reference,PASS,0.36,48.77204513807068,3.928,PRESERVING,PASS,True,0,0,0.0,109,1,1,0,0
109,4.289,3,0.36,48.73481457087064,3.929,PRESERVING,PASS,continuous_reference,PASS,0.36,48.73481457087064,3.929,PRESERVING,PASS,True,0,0,0.0,110,1,1,0,0
110,4.29,3,0.36,48.69762188773589,3.93,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,111,1,0,0,1
111,4.291,3,0.36,48.660467040492456,3.931,PRESERVING,PASS,continuous_reference,PASS,0.36,48.660467040492456,3.931,PRESERVING,PASS,True,0,0,0.0,112,1,1,0,0
