state_mm,remaining_passes,myopic_action_mm,myopic_immediate_deflection_um,myopic_successor_mm,myopic_action_class,rpra_action_mm,rpra_immediate_deflection_um,rpra_successor_mm,immediate_deflection_sacrifice_um,selected_actions_differ
4.374,3,0.36,45.7039041186448,4.014,DESTROYING,0.437,61.34276295523092,3.937,15.638858836586117,True
4.375,3,0.36,45.66976275741815,4.015,DESTROYING,0.438,61.51447050736772,3.937,15.84470774994957,True
4.376,3,0.36,45.63565539306423,4.016,DESTROYING,0.439,61.68627953833612,3.937,16.05062414527189,True
4.377,3,0.36,45.60158198327736,4.017,DESTROYING,0.44,61.8581899030031,3.937,16.256607919725738,True
4.378,3,0.36,45.567542485815,4.018,DESTROYING,0.441,62.030201456712646,3.937,16.46265897089765,True
4.379,3,0.36,45.53353685849758,4.019,DESTROYING,0.442,62.20231405528202,3.937,16.66877719678444,True
4.38,3,0.36,45.49956505920863,4.02,DESTROYING,0.443,62.374527554999446,3.937,16.874962495790818,True
4.381,3,0.36,45.4656270458943,4.021,DESTROYING,0.444,62.54684181262163,3.937,17.081214766727328,True
4.382,3,0.36,45.43172277656366,4.022,DESTROYING,0.445,62.7192566853709,3.937,17.28753390880724,True
4.383,3,0.36,45.397852209288274,4.023,DESTROYING,0.446,62.89177203093203,3.937,17.493919821643757,True
4.384,3,0.36,45.36401530220222,4.024,DESTROYING,0.447,63.06438770745129,3.937,17.70037240524907,True
4.385,3,0.36,45.33021201350202,4.025,DESTROYING,0.448,63.23710357353214,3.937,17.906891560030118,True
4.386,3,0.36,45.29644230144643,4.026,DESTROYING,0.449,63.409919488233896,3.937,18.113477186787463,True
4.387,3,0.36,45.262706124356384,4.027,DESTROYING,0.45,63.582835311068465,3.937,18.32012918671208,True
4.388,3,0.36,45.22900344061496,4.028,DESTROYING,0.451,63.75585090199845,3.937,18.52684746138349,True
4.389,3,0.36,45.19533420866706,4.029,DESTROYING,0.452,63.92896612143363,3.937,18.73363191276657,True
4.39,3,0.36,45.16169838701954,4.03,DESTROYING,0.453,64.10218083023004,3.937,18.9404824432105,True
4.391,3,0.36,45.12809593424104,4.031,DESTROYING,0.454,64.27549488968609,3.937,19.14739895544505,True
4.392,3,0.36,45.09452680896169,4.032,DESTROYING,0.455,64.44890816154124,3.937,19.35438135257955,True
4.393,3,0.36,45.06099096987327,4.033,DESTROYING,0.456,64.62242050797275,3.937,19.561429538099482,True
4.394,3,0.36,45.02748837572899,4.034,DESTROYING,0.457,64.79603179159405,3.937,19.768543415865054,True
4.395,3,0.36,44.99401898534328,4.035,DESTROYING,0.458,64.96974187545112,3.937,19.97572289010784,True
4.396,3,0.36,44.96058275759192,4.036,DESTROYING,0.459,65.14355062302187,3.937,20.182967865429944,True
4.397,3,0.36,44.927179651411635,4.037,DESTROYING,0.46,65.31745789821242,3.937,20.39027824680079,True
4.398,3,0.36,44.89380962580027,4.038,DESTROYING,0.461,65.49146356535569,3.937,20.597653939555414,True
4.399,3,0.36,44.860472639816585,4.039,DESTROYING,0.462,65.6655674892083,3.937,20.805094849391715,True
4.4,3,0.36,44.827168652579985,4.04,DESTROYING,0.463,65.83976953494917,3.937,21.012600882369185,True
4.401,3,0.36,44.79389762327068,4.041,DESTROYING,0.464,66.01406956817586,3.937,21.220171944905175,True
4.402,3,0.36,44.76065951112946,4.042,DESTROYING,0.465,66.18846745490411,3.937,21.427807943774653,True
4.403,3,0.36,44.72745427545751,4.043,DESTROYING,0.466,66.36296306156447,3.937,21.63550878610696,True
4.404,3,0.36,44.69428187561646,4.044,DESTROYING,0.467,66.53755625500033,3.937,21.843274379383864,True
4.405,3,0.36,44.66114227102813,4.045,DESTROYING,0.468,66.71224690246572,3.937,22.05110463143759,True
4.406,3,0.36,44.62803542117457,4.046,DESTROYING,0.469,66.8870348716235,3.937,22.258999450448925,True
4.407,3,0.36,44.59496128559787,4.047,DESTROYING,0.47,67.06192003054181,3.937,22.466958744943945,True
4.408,3,0.36,44.56191982390002,4.048,DESTROYING,0.471,67.2369022476942,3.937,22.674982423794184,True
4.409,3,0.36,44.52891099574296,4.049,DESTROYING,0.472,67.41198139195559,3.937,22.88307039621263,True
4.41,3,0.36,44.49593476084829,4.05,DESTROYING,0.473,67.58715733260098,3.937,23.091222571752688,True
4.411,3,0.36,44.46299107899725,4.051,DESTROYING,0.474,67.76242993930329,3.937,23.29943886030604,True
4.412,3,0.36,44.43007991003068,4.052,DESTROYING,0.475,67.93779908213101,3.937,23.50771917210033,True
4.413,3,0.36,44.3972012138488,4.053,DESTROYING,0.476,68.11326463154663,3.937,23.716063417697825,True
4.414,3,0.36,44.3643549504112,4.054,DESTROYING,0.477,68.28882645840352,3.937,23.924471507992322,True
4.415,3,0.36,44.33154107973671,4.055,DESTROYING,0.478,68.46448443394532,3.937,24.132943354208606,True
4.416,3,0.36,44.298759561903246,4.056,DESTROYING,0.479,68.64023842980316,3.937,24.341478867899916,True
4.417,3,0.36,44.266010357047755,4.057,DESTROYING,0.48,68.81608831799328,3.937,24.550077960945522,True
4.418,3,0.36,44.23329342536616,4.058,DESTROYING,0.481,68.99203397091617,3.937,24.758740545550005,True
4.419,3,0.36,44.20060872711316,4.059,DESTROYING,0.482,69.16807526135294,3.937,24.967466534239776,True
4.42,3,0.36,44.16795622260222,4.06,DESTROYING,0.483,69.34421206246495,3.937,25.176255839862726,True
4.421,3,0.36,44.13533587220534,4.061,DESTROYING,0.484,69.52044424779127,3.937,25.385108375585936,True
4.422,3,0.36,44.10274763635313,4.062,DESTROYING,0.485,69.69677169124638,3.937,25.594024054893254,True
4.423,3,0.36,44.07019147553461,4.063,DESTROYING,0.486,69.87319426711854,3.937,25.80300279158393,True
4.424,3,0.36,44.03766735029706,4.064,DESTROYING,0.487,70.04971185006823,3.937,26.01204449977117,True
4.425,3,0.36,44.00517522124601,4.065,DESTROYING,0.488,70.22632431512572,3.937,26.22114909387971,True
4.426,3,0.36,43.972715049045185,4.066,DESTROYING,0.489,70.40303153768883,3.937,26.430316488643648,True
4.427,3,0.36,43.940286794416174,4.067,DESTROYING,0.49,70.57983339352239,3.937,26.639546599106218,True
4.428,3,0.36,43.907890418138614,4.068,DESTROYING,0.491,70.75672975875528,3.937,26.84883934061667,True
4.429,3,0.36,43.87552588104985,4.069,DESTROYING,0.492,70.93372050987885,3.937,27.058194628829,True
4.43,3,0.36,43.843193144045095,4.07,DESTROYING,0.493,71.11080552374565,3.937,27.26761237970056,True
4.431,3,0.36,43.810892168077054,4.071,DESTROYING,0.494,71.28798467756593,3.937,27.477092509488877,True
4.432,3,0.36,43.778622914155996,4.072,DESTROYING,0.495,71.46525784890817,3.937,27.68663493475217,True
4.433,3,0.36,43.7463853433496,4.073,DESTROYING,0.496,71.64262491569566,3.937,27.89623957234606,True
4.434,3,0.36,43.71417941678293,4.074,DESTROYING,0.497,71.82008575620523,3.937,28.105906339422297,True
4.435,3,0.36,43.682005095638175,4.075,DESTROYING,0.498,71.9976402490655,3.937,28.315635153427323,True
