start_state_mm,policy,step,remaining_passes_before,state_before_mm,selected_action_mm,immediate_deflection_um,selected_action_class,successor_mm,remaining_passes_after,step_status,failure_detail
4.27,MYOPIC,1,3,4.27,0.36,49.4487288845639,PRESERVING,3.91,2,CONTINUE,
4.27,MYOPIC,2,2,3.91,0.36,66.06939732290982,DESTROYING,3.55,1,CONTINUE,
4.27,MYOPIC,3,1,3.55,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.271,MYOPIC,1,3,4.271,0.36,49.41080808185711,PRESERVING,3.911,2,CONTINUE,
4.271,MYOPIC,2,2,3.911,0.36,66.01359547001255,DESTROYING,3.551,1,CONTINUE,
4.271,MYOPIC,3,1,3.551,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.272,MYOPIC,1,3,4.272,0.36,49.37292604306616,PRESERVING,3.912,2,CONTINUE,
4.272,MYOPIC,2,2,3.912,0.36,65.95785643934917,DESTROYING,3.552,1,CONTINUE,
4.272,MYOPIC,3,1,3.552,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.273,MYOPIC,1,3,4.273,0.36,49.335082718671444,PRESERVING,3.913,2,CONTINUE,
4.273,MYOPIC,2,2,3.913,0.36,65.9021801425372,DESTROYING,3.553,1,CONTINUE,
4.273,MYOPIC,3,1,3.553,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.274,MYOPIC,1,3,4.274,0.36,49.29727805922929,PRESERVING,3.914,2,CONTINUE,
4.274,MYOPIC,2,2,3.914,0.36,65.84656649134338,DESTROYING,3.554,1,CONTINUE,
4.274,MYOPIC,3,1,3.554,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.275,MYOPIC,1,3,4.275,0.36,49.25951201537183,PRESERVING,3.915,2,CONTINUE,
4.275,MYOPIC,2,2,3.915,0.36,65.79101539768331,DESTROYING,3.555,1,CONTINUE,
4.275,MYOPIC,3,1,3.555,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.276,MYOPIC,1,3,4.276,0.36,49.221784537806734,PRESERVING,3.916,2,CONTINUE,
4.276,MYOPIC,2,2,3.916,0.36,65.73552677362127,DESTROYING,3.556,1,CONTINUE,
4.276,MYOPIC,3,1,3.556,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.277,MYOPIC,1,3,4.277,0.36,49.18409557731721,PRESERVING,3.917,2,CONTINUE,
4.277,MYOPIC,2,2,3.917,0.36,65.68010053136966,DESTROYING,3.557,1,CONTINUE,
4.277,MYOPIC,3,1,3.557,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.278,MYOPIC,1,3,4.278,0.36,49.14644508476175,PRESERVING,3.918,2,CONTINUE,
4.278,MYOPIC,2,2,3.918,0.36,65.62473658328904,DESTROYING,3.558,1,CONTINUE,
4.278,MYOPIC,3,1,3.558,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.279,MYOPIC,1,3,4.279,0.36,49.108833011074196,PRESERVING,3.919,2,CONTINUE,
4.279,MYOPIC,2,2,3.919,0.36,65.56943484188749,DESTROYING,3.559,1,CONTINUE,
4.279,MYOPIC,3,1,3.559,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.28,MYOPIC,1,3,4.28,0.36,49.071259307263354,PRESERVING,3.92,2,CONTINUE,
4.28,MYOPIC,2,2,3.92,0.36,65.51419521982075,DESTROYING,3.56,1,CONTINUE,
4.28,MYOPIC,3,1,3.56,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.281,MYOPIC,1,3,4.281,0.36,49.03372392441303,PRESERVING,3.921,2,CONTINUE,
4.281,MYOPIC,2,2,3.921,0.36,65.4590176298915,DESTROYING,3.561,1,CONTINUE,
4.281,MYOPIC,3,1,3.561,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.282,MYOPIC,1,3,4.282,0.36,48.99622681368178,PRESERVING,3.922,2,CONTINUE,
4.282,MYOPIC,2,2,3.922,0.36,65.4039019850493,DESTROYING,3.562,1,CONTINUE,
4.282,MYOPIC,3,1,3.562,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.283,MYOPIC,1,3,4.283,0.36,48.958767926302954,PRESERVING,3.923,2,CONTINUE,
4.283,MYOPIC,2,2,3.923,0.36,65.34884819839029,DESTROYING,3.563,1,CONTINUE,
4.283,MYOPIC,3,1,3.563,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.284,MYOPIC,1,3,4.284,0.36,48.92134721358435,PRESERVING,3.924,2,CONTINUE,
4.284,MYOPIC,2,2,3.924,0.36,65.29385618315686,DESTROYING,3.564,1,CONTINUE,
4.284,MYOPIC,3,1,3.564,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.285,MYOPIC,1,3,4.285,0.36,48.88396462690824,PRESERVING,3.925,2,CONTINUE,
4.285,MYOPIC,2,2,3.925,0.36,65.23892585273738,DESTROYING,3.565,1,CONTINUE,
4.285,MYOPIC,3,1,3.565,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.286,MYOPIC,1,3,4.286,0.36,48.84662011773112,PRESERVING,3.926,2,CONTINUE,
4.286,MYOPIC,2,2,3.926,0.36,65.1840571206659,DESTROYING,3.566,1,CONTINUE,
4.286,MYOPIC,3,1,3.566,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.287,MYOPIC,1,3,4.287,0.36,48.80931363758369,PRESERVING,3.927,2,CONTINUE,
4.287,MYOPIC,2,2,3.927,0.36,65.12924990062183,DESTROYING,3.567,1,CONTINUE,
4.287,MYOPIC,3,1,3.567,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.288,MYOPIC,1,3,4.288,0.36,48.77204513807068,PRESERVING,3.928,2,CONTINUE,
4.288,MYOPIC,2,2,3.928,0.36,65.0745041064298,DESTROYING,3.568,1,CONTINUE,
4.288,MYOPIC,3,1,3.568,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.289,MYOPIC,1,3,4.289,0.36,48.73481457087064,PRESERVING,3.929,2,CONTINUE,
4.289,MYOPIC,2,2,3.929,0.36,65.01981965205917,DESTROYING,3.569,1,CONTINUE,
4.289,MYOPIC,3,1,3.569,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.29,MYOPIC,1,3,4.29,0.36,48.69762188773589,PRESERVING,3.93,2,CONTINUE,
4.29,MYOPIC,2,2,3.93,0.36,64.96519645162391,DESTROYING,3.57,1,CONTINUE,
4.29,MYOPIC,3,1,3.57,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.291,MYOPIC,1,3,4.291,0.36,48.660467040492456,PRESERVING,3.931,2,CONTINUE,
4.291,MYOPIC,2,2,3.931,0.36,64.91063441938222,DESTROYING,3.571,1,CONTINUE,
4.291,MYOPIC,3,1,3.571,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.292,MYOPIC,1,3,4.292,0.36,48.62334998103975,PRESERVING,3.932,2,CONTINUE,
4.292,MYOPIC,2,2,3.932,0.36,64.85613346973629,DESTROYING,3.572,1,CONTINUE,
4.292,MYOPIC,3,1,3.572,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.293,MYOPIC,1,3,4.293,0.36,48.586270661350575,PRESERVING,3.933,2,CONTINUE,
4.293,MYOPIC,2,2,3.933,0.36,64.80169351723207,DESTROYING,3.573,1,CONTINUE,
4.293,MYOPIC,3,1,3.573,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.294,MYOPIC,1,3,4.294,0.36,48.549229033471015,PRESERVING,3.934,2,CONTINUE,
4.294,MYOPIC,2,2,3.934,0.36,64.74731447655883,DESTROYING,3.574,1,CONTINUE,
4.294,MYOPIC,3,1,3.574,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.295,MYOPIC,1,3,4.295,0.36,48.51222504952019,PRESERVING,3.935,2,CONTINUE,
4.295,MYOPIC,2,2,3.935,0.36,64.69299626254904,DESTROYING,3.575,1,CONTINUE,
4.295,MYOPIC,3,1,3.575,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.296,MYOPIC,1,3,4.296,0.36,48.47525866169025,PRESERVING,3.936,2,CONTINUE,
4.296,MYOPIC,2,2,3.936,0.36,64.63873879017802,DESTROYING,3.576,1,CONTINUE,
4.296,MYOPIC,3,1,3.576,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.297,MYOPIC,1,3,4.297,0.36,48.43832982224611,PRESERVING,3.937,2,CONTINUE,
4.297,MYOPIC,2,2,3.937,0.36,64.58454197456369,DESTROYING,3.577,1,CONTINUE,
4.297,MYOPIC,3,1,3.577,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.298,MYOPIC,1,3,4.298,0.36,48.40143848352548,DESTROYING,3.938,2,CONTINUE,
4.298,MYOPIC,2,2,3.938,0.36,64.53040573096621,DESTROYING,3.578,1,CONTINUE,
4.298,MYOPIC,3,1,3.578,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.299,MYOPIC,1,3,4.299,0.36,48.364584597938595,DESTROYING,3.939,2,CONTINUE,
4.299,MYOPIC,2,2,3.939,0.36,64.47632997478777,DESTROYING,3.579,1,CONTINUE,
4.299,MYOPIC,3,1,3.579,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.3,MYOPIC,1,3,4.3,0.36,48.32776811796816,DESTROYING,3.94,2,CONTINUE,
4.3,MYOPIC,2,2,3.94,0.36,64.42231462157241,DESTROYING,3.58,1,CONTINUE,
4.3,MYOPIC,3,1,3.58,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.301,MYOPIC,1,3,4.301,0.36,48.29098899616919,DESTROYING,3.941,2,CONTINUE,
4.301,MYOPIC,2,2,3.941,0.36,64.36835958700551,DESTROYING,3.581,1,CONTINUE,
4.301,MYOPIC,3,1,3.581,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.302,MYOPIC,1,3,4.302,0.36,48.254247185168936,DESTROYING,3.942,2,CONTINUE,
4.302,MYOPIC,2,2,3.942,0.36,64.31446478691372,DESTROYING,3.582,1,CONTINUE,
4.302,MYOPIC,3,1,3.582,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.303,MYOPIC,1,3,4.303,0.36,48.217542637666696,DESTROYING,3.943,2,CONTINUE,
4.303,MYOPIC,2,2,3.943,0.36,64.26063013726453,DESTROYING,3.583,1,CONTINUE,
4.303,MYOPIC,3,1,3.583,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.304,MYOPIC,1,3,4.304,0.36,48.1808753064337,DESTROYING,3.944,2,CONTINUE,
4.304,MYOPIC,2,2,3.944,0.36,64.20685555416615,DESTROYING,3.584,1,CONTINUE,
4.304,MYOPIC,3,1,3.584,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.305,MYOPIC,1,3,4.305,0.36,48.144245144312976,DESTROYING,3.945,2,CONTINUE,
4.305,MYOPIC,2,2,3.945,0.36,64.15314095386712,DESTROYING,3.585,1,CONTINUE,
4.305,MYOPIC,3,1,3.585,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.306,MYOPIC,1,3,4.306,0.36,48.10765210421926,DESTROYING,3.946,2,CONTINUE,
4.306,MYOPIC,2,2,3.946,0.36,64.09948625275607,DESTROYING,3.586,1,CONTINUE,
4.306,MYOPIC,3,1,3.586,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.307,MYOPIC,1,3,4.307,0.36,48.071096139138874,DESTROYING,3.947,2,CONTINUE,
4.307,MYOPIC,2,2,3.947,0.36,64.04589136736142,DESTROYING,3.587,1,CONTINUE,
4.307,MYOPIC,3,1,3.587,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.308,MYOPIC,1,3,4.308,0.36,48.03457720212951,DESTROYING,3.948,2,CONTINUE,
4.308,MYOPIC,2,2,3.948,0.36,63.99235621435122,DESTROYING,3.588,1,CONTINUE,
4.308,MYOPIC,3,1,3.588,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.309,MYOPIC,1,3,4.309,0.36,47.9980952463202,DESTROYING,3.949,2,CONTINUE,
4.309,MYOPIC,2,2,3.949,0.36,63.93888071053272,DESTROYING,3.589,1,CONTINUE,
4.309,MYOPIC,3,1,3.589,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.31,MYOPIC,1,3,4.31,0.36,47.96165022491113,DESTROYING,3.95,2,CONTINUE,
4.31,MYOPIC,2,2,3.95,0.36,63.88546477285219,DESTROYING,3.59,1,CONTINUE,
4.31,MYOPIC,3,1,3.59,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.311,MYOPIC,1,3,4.311,0.36,47.92524209117362,DESTROYING,3.951,2,CONTINUE,
4.311,MYOPIC,2,2,3.951,0.36,63.8321083183946,DESTROYING,3.591,1,CONTINUE,
4.311,MYOPIC,3,1,3.591,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.312,MYOPIC,1,3,4.312,0.36,47.88887079844982,DESTROYING,3.952,2,CONTINUE,
4.312,MYOPIC,2,2,3.952,0.36,63.778811264383464,DESTROYING,3.592,1,CONTINUE,
4.312,MYOPIC,3,1,3.592,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.313,MYOPIC,1,3,4.313,0.36,47.85253630015269,DESTROYING,3.953,2,CONTINUE,
4.313,MYOPIC,2,2,3.953,0.36,63.72557352818044,DESTROYING,3.593,1,CONTINUE,
4.313,MYOPIC,3,1,3.593,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.314,MYOPIC,1,3,4.314,0.36,47.81623854976592,DESTROYING,3.954,2,CONTINUE,
4.314,MYOPIC,2,2,3.954,0.36,63.67239502728507,DESTROYING,3.594,1,CONTINUE,
4.314,MYOPIC,3,1,3.594,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.315,MYOPIC,1,3,4.315,0.36,47.779977500843714,DESTROYING,3.955,2,CONTINUE,
4.315,MYOPIC,2,2,3.955,0.36,63.61927567933458,DESTROYING,3.595,1,CONTINUE,
4.315,MYOPIC,3,1,3.595,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.316,MYOPIC,1,3,4.316,0.36,47.74375310701071,DESTROYING,3.956,2,CONTINUE,
4.316,MYOPIC,2,2,3.956,0.36,63.56621540210364,DESTROYING,3.596,1,CONTINUE,
4.316,MYOPIC,3,1,3.596,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.317,MYOPIC,1,3,4.317,0.36,47.70756532196184,DESTROYING,3.957,2,CONTINUE,
4.317,MYOPIC,2,2,3.957,0.36,63.513214113503956,DESTROYING,3.597,1,CONTINUE,
4.317,MYOPIC,3,1,3.597,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.318,MYOPIC,1,3,4.318,0.36,47.67141409946222,DESTROYING,3.958,2,CONTINUE,
4.318,MYOPIC,2,2,3.958,0.36,63.4602717315841,DESTROYING,3.598,1,CONTINUE,
4.318,MYOPIC,3,1,3.598,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.319,MYOPIC,1,3,4.319,0.36,47.635299393347026,DESTROYING,3.959,2,CONTINUE,
4.319,MYOPIC,2,2,3.959,0.36,63.40738817452926,DESTROYING,3.599,1,CONTINUE,
4.319,MYOPIC,3,1,3.599,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.32,MYOPIC,1,3,4.32,0.36,47.599221157521356,DESTROYING,3.96,2,CONTINUE,
4.32,MYOPIC,2,2,3.96,0.36,63.354563360660904,DESTROYING,3.6,1,CONTINUE,
4.32,MYOPIC,3,1,3.6,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.321,MYOPIC,1,3,4.321,0.36,47.5631793459601,DESTROYING,3.961,2,CONTINUE,
4.321,MYOPIC,2,2,3.961,0.36,63.30179720843666,DESTROYING,3.601,1,CONTINUE,
4.321,MYOPIC,3,1,3.601,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.322,MYOPIC,1,3,4.322,0.36,47.52717391270784,DESTROYING,3.962,2,CONTINUE,
4.322,MYOPIC,2,2,3.962,0.36,63.249089636449774,DESTROYING,3.602,1,CONTINUE,
4.322,MYOPIC,3,1,3.602,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.323,MYOPIC,1,3,4.323,0.36,47.49120481187877,DESTROYING,3.963,2,CONTINUE,
4.323,MYOPIC,2,2,3.963,0.36,63.19644056342916,DESTROYING,3.603,1,CONTINUE,
4.323,MYOPIC,3,1,3.603,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.324,MYOPIC,1,3,4.324,0.36,47.4552719976564,DESTROYING,3.964,2,CONTINUE,
4.324,MYOPIC,2,2,3.964,0.36,63.14384990823893,DESTROYING,3.604,1,CONTINUE,
4.324,MYOPIC,3,1,3.604,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.325,MYOPIC,1,3,4.325,0.36,47.419375424293655,DESTROYING,3.965,2,CONTINUE,
4.325,MYOPIC,2,2,3.965,0.36,63.09131758987825,DESTROYING,3.605,1,CONTINUE,
4.325,MYOPIC,3,1,3.605,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.326,MYOPIC,1,3,4.326,0.36,47.383515046112606,DESTROYING,3.966,2,CONTINUE,
4.326,MYOPIC,2,2,3.966,0.36,63.03884352748097,DESTROYING,3.606,1,CONTINUE,
4.326,MYOPIC,3,1,3.606,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.327,MYOPIC,1,3,4.327,0.36,47.34769081750445,DESTROYING,3.967,2,CONTINUE,
4.327,MYOPIC,2,2,3.967,0.36,62.98642764031541,DESTROYING,3.607,1,CONTINUE,
4.327,MYOPIC,3,1,3.607,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.328,MYOPIC,1,3,4.328,0.36,47.31190269292926,DESTROYING,3.968,2,CONTINUE,
4.328,MYOPIC,2,2,3.968,0.36,62.93406984778416,DESTROYING,3.608,1,CONTINUE,
4.328,MYOPIC,3,1,3.608,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.329,MYOPIC,1,3,4.329,0.36,47.27615062691596,DESTROYING,3.969,2,CONTINUE,
4.329,MYOPIC,2,2,3.969,0.36,62.8817700694238,DESTROYING,3.609,1,CONTINUE,
4.329,MYOPIC,3,1,3.609,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.33,MYOPIC,1,3,4.33,0.36,47.24043457406218,DESTROYING,3.97,2,CONTINUE,
4.33,MYOPIC,2,2,3.97,0.36,62.829528224904465,DESTROYING,3.61,1,CONTINUE,
4.33,MYOPIC,3,1,3.61,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.331,MYOPIC,1,3,4.331,0.36,47.20475448903415,DESTROYING,3.971,2,CONTINUE,
4.331,MYOPIC,2,2,3.971,0.36,62.77734423402983,DESTROYING,3.611,1,CONTINUE,
4.331,MYOPIC,3,1,3.611,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.332,MYOPIC,1,3,4.332,0.36,47.16911032656655,DESTROYING,3.972,2,CONTINUE,
4.332,MYOPIC,2,2,3.972,0.36,62.725218016736775,DESTROYING,3.612,1,CONTINUE,
4.332,MYOPIC,3,1,3.612,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.333,MYOPIC,1,3,4.333,0.36,47.13350204146242,DESTROYING,3.973,2,CONTINUE,
4.333,MYOPIC,2,2,3.973,0.36,62.67314949309503,DESTROYING,3.613,1,CONTINUE,
4.333,MYOPIC,3,1,3.613,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.334,MYOPIC,1,3,4.334,0.36,47.09792958859292,DESTROYING,3.974,2,CONTINUE,
4.334,MYOPIC,2,2,3.974,0.36,62.62113858330704,DESTROYING,3.614,1,CONTINUE,
4.334,MYOPIC,3,1,3.614,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.335,MYOPIC,1,3,4.335,0.36,47.0623929228975,DESTROYING,3.975,2,CONTINUE,
4.335,MYOPIC,2,2,3.975,0.36,62.5691852077076,DESTROYING,3.615,1,CONTINUE,
4.335,MYOPIC,3,1,3.615,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.336,MYOPIC,1,3,4.336,0.36,47.02689199938347,DESTROYING,3.976,2,CONTINUE,
4.336,MYOPIC,2,2,3.976,0.36,62.51728928676374,DESTROYING,3.616,1,CONTINUE,
4.336,MYOPIC,3,1,3.616,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.337,MYOPIC,1,3,4.337,0.36,46.99142677312595,DESTROYING,3.977,2,CONTINUE,
4.337,MYOPIC,2,2,3.977,0.36,62.46545074107433,DESTROYING,3.617,1,CONTINUE,
4.337,MYOPIC,3,1,3.617,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.338,MYOPIC,1,3,4.338,0.36,46.955997199267934,DESTROYING,3.978,2,CONTINUE,
4.338,MYOPIC,2,2,3.978,0.36,62.41366949136984,DESTROYING,3.618,1,CONTINUE,
4.338,MYOPIC,3,1,3.618,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.339,MYOPIC,1,3,4.339,0.36,46.92060323301997,DESTROYING,3.979,2,CONTINUE,
4.339,MYOPIC,2,2,3.979,0.36,62.36194545851222,DESTROYING,3.619,1,CONTINUE,
4.339,MYOPIC,3,1,3.619,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.34,MYOPIC,1,3,4.34,0.36,46.8852448296601,DESTROYING,3.98,2,CONTINUE,
4.34,MYOPIC,2,2,3.98,0.36,62.31027856349452,DESTROYING,3.62,1,CONTINUE,
4.34,MYOPIC,3,1,3.62,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.341,MYOPIC,1,3,4.341,0.36,46.84992194453378,DESTROYING,3.981,2,CONTINUE,
4.341,MYOPIC,2,2,3.981,0.36,62.258668727440615,DESTROYING,3.621,1,CONTINUE,
4.341,MYOPIC,3,1,3.621,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.342,MYOPIC,1,3,4.342,0.36,46.81463453305372,DESTROYING,3.982,2,CONTINUE,
4.342,MYOPIC,2,2,3.982,0.36,62.20711587160507,DESTROYING,3.622,1,CONTINUE,
4.342,MYOPIC,3,1,3.622,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.343,MYOPIC,1,3,4.343,0.36,46.77938255069979,DESTROYING,3.983,2,CONTINUE,
4.343,MYOPIC,2,2,3.983,0.36,62.15561991737277,DESTROYING,3.623,1,CONTINUE,
4.343,MYOPIC,3,1,3.623,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.344,MYOPIC,1,3,4.344,0.36,46.74416595301893,DESTROYING,3.984,2,CONTINUE,
4.344,MYOPIC,2,2,3.984,0.36,62.10418078625884,DESTROYING,3.624,1,CONTINUE,
4.344,MYOPIC,3,1,3.624,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.345,MYOPIC,1,3,4.345,0.36,46.70898469562487,DESTROYING,3.985,2,CONTINUE,
4.345,MYOPIC,2,2,3.985,0.36,62.05279839990808,DESTROYING,3.625,1,CONTINUE,
4.345,MYOPIC,3,1,3.625,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.346,MYOPIC,1,3,4.346,0.36,46.67383873419824,DESTROYING,3.986,2,CONTINUE,
4.346,MYOPIC,2,2,3.986,0.36,62.00147268009506,DESTROYING,3.626,1,CONTINUE,
4.346,MYOPIC,3,1,3.626,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.347,MYOPIC,1,3,4.347,0.36,46.63872802448637,DESTROYING,3.987,2,CONTINUE,
4.347,MYOPIC,2,2,3.987,0.36,61.950203548723685,DESTROYING,3.627,1,CONTINUE,
4.347,MYOPIC,3,1,3.627,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.348,MYOPIC,1,3,4.348,0.36,46.60365252230307,DESTROYING,3.988,2,CONTINUE,
4.348,MYOPIC,2,2,3.988,0.36,61.89899092782695,DESTROYING,3.628,1,CONTINUE,
4.348,MYOPIC,3,1,3.628,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.349,MYOPIC,1,3,4.349,0.36,46.568612183528614,DESTROYING,3.989,2,CONTINUE,
4.349,MYOPIC,2,2,3.989,0.36,61.847834739566736,DESTROYING,3.629,1,CONTINUE,
4.349,MYOPIC,3,1,3.629,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.35,MYOPIC,1,3,4.35,0.36,46.533606964109666,DESTROYING,3.99,2,CONTINUE,
4.35,MYOPIC,2,2,3.99,0.36,61.796734906233596,DESTROYING,3.63,1,CONTINUE,
4.35,MYOPIC,3,1,3.63,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.351,MYOPIC,1,3,4.351,0.36,46.49863682005904,DESTROYING,3.991,2,CONTINUE,
4.351,MYOPIC,2,2,3.991,0.36,61.74569135024639,DESTROYING,3.631,1,CONTINUE,
4.351,MYOPIC,3,1,3.631,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.352,MYOPIC,1,3,4.352,0.36,46.46370170745567,DESTROYING,3.992,2,CONTINUE,
4.352,MYOPIC,2,2,3.992,0.36,61.69470399415207,DESTROYING,3.632,1,CONTINUE,
4.352,MYOPIC,3,1,3.632,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.353,MYOPIC,1,3,4.353,0.36,46.428801582444464,DESTROYING,3.993,2,CONTINUE,
4.353,MYOPIC,2,2,3.993,0.36,61.64377276062561,DESTROYING,3.633,1,CONTINUE,
4.353,MYOPIC,3,1,3.633,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.354,MYOPIC,1,3,4.354,0.36,46.393936401236196,DESTROYING,3.994,2,CONTINUE,
4.354,MYOPIC,2,2,3.994,0.36,61.59289757246954,DESTROYING,3.634,1,CONTINUE,
4.354,MYOPIC,3,1,3.634,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.355,MYOPIC,1,3,4.355,0.36,46.359106120107406,DESTROYING,3.995,2,CONTINUE,
4.355,MYOPIC,2,2,3.995,0.36,61.54207835261369,DESTROYING,3.635,1,CONTINUE,
4.355,MYOPIC,3,1,3.635,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.356,MYOPIC,1,3,4.356,0.36,46.32431069540023,DESTROYING,3.996,2,CONTINUE,
4.356,MYOPIC,2,2,3.996,0.36,61.4913150241152,DESTROYING,3.636,1,CONTINUE,
4.356,MYOPIC,3,1,3.636,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.357,MYOPIC,1,3,4.357,0.36,46.289550083522386,DESTROYING,3.997,2,CONTINUE,
4.357,MYOPIC,2,2,3.997,0.36,61.44060751015802,DESTROYING,3.637,1,CONTINUE,
4.357,MYOPIC,3,1,3.637,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.358,MYOPIC,1,3,4.358,0.36,46.254824240946895,DESTROYING,3.998,2,CONTINUE,
4.358,MYOPIC,2,2,3.998,0.36,61.38995573405271,DESTROYING,3.638,1,CONTINUE,
4.358,MYOPIC,3,1,3.638,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.359,MYOPIC,1,3,4.359,0.36,46.22013312421219,DESTROYING,3.999,2,CONTINUE,
4.359,MYOPIC,2,2,3.999,0.36,61.33935961923631,DESTROYING,3.639,1,CONTINUE,
4.359,MYOPIC,3,1,3.639,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.36,MYOPIC,1,3,4.36,0.36,46.18547668992182,DESTROYING,4.0,2,CONTINUE,
4.36,MYOPIC,2,2,4.0,0.36,61.288819089272025,DESTROYING,3.64,1,CONTINUE,
