state_order,state_mm,rpra_action_mm,online_action_mm,rpra_immediate_deflection_um,online_immediate_deflection_um,rpra_successor_mm,online_successor_mm,rpra_selected_continuous_status,online_selected_continuous_status,online_discrete_class,exact_action_agreement,signed_action_delta_um_online_minus_rpra,absolute_action_difference_um,immediate_deflection_delta_um_rpra_minus_online,disagreement_classification
76,4.256,0.36,0.36,49.983718246366685,49.983718246366685,3.896,3.896,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
77,4.257,0.36,0.36,49.94524950645972,49.94524950645972,3.897,3.897,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
78,4.258,0.36,0.36,49.906820231787734,49.906820231787734,3.898,3.898,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
79,4.259,0.36,0.36,49.86843037175427,49.86843037175427,3.899,3.899,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
80,4.26,0.36,0.36,49.83007987584073,49.83007987584073,3.9,3.9,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
81,4.261,0.36,0.36,49.79176869360613,49.79176869360613,3.901,3.901,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
82,4.262,0.36,0.36,49.75349677468705,49.75349677468705,3.902,3.902,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
83,4.263,0.36,0.36,49.71526406879751,49.71526406879751,3.903,3.903,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
84,4.264,0.36,0.36,49.67707052572877,49.67707052572877,3.904,3.904,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
85,4.265,0.36,0.36,49.638916095349224,49.638916095349224,3.905,3.905,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
86,4.266,0.36,0.36,49.60080072760419,49.60080072760419,3.906,3.906,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
87,4.267,0.36,0.36,49.56272437251595,49.56272437251595,3.907,3.907,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
88,4.268,0.36,0.36,49.52468698018341,49.52468698018341,3.908,3.908,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
89,4.269,0.36,0.36,49.48668850078208,49.48668850078208,3.909,3.909,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
90,4.27,0.36,0.36,49.4487288845639,49.4487288845639,3.91,3.91,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
91,4.271,0.36,0.36,49.41080808185711,49.41080808185711,3.911,3.911,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
92,4.272,0.36,0.36,49.37292604306616,49.37292604306616,3.912,3.912,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
93,4.273,0.36,0.36,49.335082718671444,49.335082718671444,3.913,3.913,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
94,4.274,0.36,0.36,49.29727805922929,49.29727805922929,3.914,3.914,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
95,4.275,0.36,0.36,49.25951201537183,49.25951201537183,3.915,3.915,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
96,4.276,0.36,0.36,49.221784537806734,49.221784537806734,3.916,3.916,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
97,4.277,0.36,0.36,49.18409557731721,49.18409557731721,3.917,3.917,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
98,4.278,0.36,0.36,49.14644508476175,49.14644508476175,3.918,3.918,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
99,4.279,0.36,0.36,49.108833011074196,49.108833011074196,3.919,3.919,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
100,4.28,0.36,0.36,49.071259307263354,49.071259307263354,3.92,3.92,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
101,4.281,0.36,0.36,49.03372392441303,49.03372392441303,3.921,3.921,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
102,4.282,0.36,0.36,48.99622681368178,48.99622681368178,3.922,3.922,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
103,4.283,0.36,0.36,48.958767926302954,48.958767926302954,3.923,3.923,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
104,4.284,0.36,0.36,48.92134721358435,48.92134721358435,3.924,3.924,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
105,4.285,0.36,0.36,48.88396462690824,48.88396462690824,3.925,3.925,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
106,4.286,0.36,0.36,48.84662011773112,48.84662011773112,3.926,3.926,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
107,4.287,0.36,0.36,48.80931363758369,48.80931363758369,3.927,3.927,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
108,4.288,0.36,0.36,48.77204513807068,48.77204513807068,3.928,3.928,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
109,4.289,0.36,0.36,48.73481457087064,48.73481457087064,3.929,3.929,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
110,4.29,0.36,0.36,48.69762188773589,48.69762188773589,3.93,3.93,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
111,4.291,0.36,0.36,48.660467040492456,48.660467040492456,3.931,3.931,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
112,4.292,0.36,0.36,48.62334998103975,48.62334998103975,3.932,3.932,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
113,4.293,0.36,0.36,48.586270661350575,48.586270661350575,3.933,3.933,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
114,4.294,0.36,0.36,48.549229033471015,48.549229033471015,3.934,3.934,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
115,4.295,0.36,0.36,48.51222504952019,48.51222504952019,3.935,3.935,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
116,4.296,0.36,0.36,48.47525866169025,48.47525866169025,3.936,3.936,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
117,4.297,0.36,0.36,48.43832982224611,48.43832982224611,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
118,4.298,0.361,0.361,48.60174512994904,48.60174512994904,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
119,4.299,0.362,0.362,48.76527477442611,48.76527477442611,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
120,4.3,0.363,0.363,48.92891856370746,48.92891856370746,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
121,4.301,0.364,0.364,49.09267630659239,49.09267630659239,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
122,4.302,0.365,0.365,49.256547812644115,49.256547812644115,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
123,4.303,0.366,0.366,49.42053289218462,49.42053289218462,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
124,4.304,0.367,0.367,49.584631356289556,49.584631356289556,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
125,4.305,0.368,0.368,49.74884301678238,49.74884301678238,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
126,4.306,0.369,0.369,49.913167686230615,49.913167686230615,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
127,4.307,0.37,0.37,50.07760517793986,50.07760517793986,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
128,4.308,0.371,0.371,50.2421553059494,50.2421553059494,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
129,4.309,0.372,0.372,50.40681788502673,50.40681788502673,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
130,4.31,0.373,0.373,50.571592730662694,50.571592730662694,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
131,4.311,0.374,0.374,50.73647965906746,50.73647965906746,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
132,4.312,0.375,0.375,50.90147848716503,50.90147848716503,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
133,4.313,0.376,0.376,51.066589032588475,51.066589032588475,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
134,4.314,0.377,0.377,51.23181111367573,51.23181111367573,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
135,4.315,0.378,0.378,51.39714454946439,51.39714454946439,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
136,4.316,0.379,0.379,51.56258915968789,51.56258915968789,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
137,4.317,0.38,0.38,51.72814476476946,51.72814476476946,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
138,4.318,0.381,0.381,51.893811185819246,51.893811185819246,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
139,4.319,0.382,0.382,52.05958824462927,52.05958824462927,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
140,4.32,0.383,0.383,52.225475763668435,52.225475763668435,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
141,4.321,0.384,0.384,52.391473566079156,52.391473566079156,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
142,4.322,0.385,0.385,52.55758147567137,52.55758147567137,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
143,4.323,0.386,0.386,52.72379931692007,52.72379931692007,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
144,4.324,0.387,0.387,52.89012691496022,52.89012691496022,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
145,4.325,0.388,0.388,53.0565640955821,53.0565640955821,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
146,4.326,0.389,0.389,53.22311068522777,53.22311068522777,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
147,4.327,0.39,0.39,53.38976651098664,53.38976651098664,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
148,4.328,0.391,0.391,53.55653140059138,53.55653140059138,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
149,4.329,0.392,0.392,53.72340518241322,53.72340518241322,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
150,4.33,0.393,0.393,53.89038768545913,53.89038768545913,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
151,4.331,0.394,0.394,54.057478739366886,54.057478739366886,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
152,4.332,0.395,0.395,54.22467817440127,54.22467817440127,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
153,4.333,0.396,0.396,54.39198582145069,54.39198582145069,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
154,4.334,0.397,0.397,54.55940151202173,54.55940151202173,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
