start_state_mm,policy,step,remaining_passes_before,state_before_mm,selected_action_mm,immediate_deflection_um,selected_action_discrete_class,successor_mm,selected_action_continuous_status,selected_action_continuous_detail,online_continuous_solve_calls,step_status
4.206,RPRA,1,3,4.206,0.36,51.95861483571447,PRESERVING,3.846,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.206,RPRA,2,2,3.846,0.384,77.05053655795668,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.206,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.207,RPRA,1,3,4.207,0.36,51.91810656193943,PRESERVING,3.847,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.207,RPRA,2,2,3.847,0.385,77.29482637630773,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.207,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.208,RPRA,1,3,4.208,0.36,51.87764038561463,PRESERVING,3.848,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.208,RPRA,2,2,3.848,0.386,77.53927786778114,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.208,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.209,RPRA,1,3,4.209,0.36,51.83721625206807,PRESERVING,3.849,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.209,RPRA,2,2,3.849,0.387,77.78389077520825,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.209,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.21,RPRA,1,3,4.21,0.36,51.79683410671292,PRESERVING,3.85,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.21,RPRA,2,2,3.85,0.388,78.02866484238417,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.21,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.211,RPRA,1,3,4.211,0.36,51.756493895047356,PRESERVING,3.851,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.211,RPRA,2,2,3.851,0.389,78.27359981406256,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.211,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.212,RPRA,1,3,4.212,0.36,51.71619556265447,PRESERVING,3.852,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,0,CONTINUE
4.212,RPRA,2,2,3.852,0.39,78.51869543594911,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.212,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.213,RPRA,1,3,4.213,0.36,51.675939055202036,PRESERVING,3.853,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.213,RPRA,2,2,3.853,0.391,78.76395145469552,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.213,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.214,RPRA,1,3,4.214,0.36,51.63572431844241,PRESERVING,3.854,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.214,RPRA,2,2,3.854,0.392,79.00936761789256,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.214,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.215,RPRA,1,3,4.215,0.36,51.59555129821238,PRESERVING,3.855,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.215,RPRA,2,2,3.855,0.393,79.25494367406611,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.215,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.216,RPRA,1,3,4.216,0.36,51.55541994043291,PRESERVING,3.856,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.216,RPRA,2,2,3.856,0.394,79.5006793726696,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.216,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.217,RPRA,1,3,4.217,0.36,51.515330191109136,PRESERVING,3.857,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.217,RPRA,2,2,3.857,0.395,79.74657446407866,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.217,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.218,RPRA,1,3,4.218,0.36,51.475281996330175,PRESERVING,3.858,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,0,CONTINUE
4.218,RPRA,2,2,3.858,0.396,79.99262869958605,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.218,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.219,RPRA,1,3,4.219,0.36,51.43527530226886,PRESERVING,3.859,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.219,RPRA,2,2,3.859,0.397,80.23884183139366,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.219,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.22,RPRA,1,3,4.22,0.36,51.39531005518171,PRESERVING,3.86,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.22,RPRA,2,2,3.86,0.398,80.48521361260941,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.22,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.221,RPRA,1,3,4.221,0.36,51.35538620140876,PRESERVING,3.861,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.221,RPRA,2,2,3.861,0.399,80.73174379724045,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.221,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.222,RPRA,1,3,4.222,0.36,51.315503687373365,PRESERVING,3.862,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.222,RPRA,2,2,3.862,0.4,80.9784321401875,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.222,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.223,RPRA,1,3,4.223,0.36,51.275662459582094,PRESERVING,3.863,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.223,RPRA,2,2,3.863,0.401,81.22527839723925,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.223,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.224,RPRA,1,3,4.224,0.36,51.2358624646245,PRESERVING,3.864,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.224,RPRA,2,2,3.864,0.402,81.47228232506728,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.224,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.225,RPRA,1,3,4.225,0.36,51.196103649173104,PRESERVING,3.865,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.225,RPRA,2,2,3.865,0.403,81.71944368122044,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.225,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.226,RPRA,1,3,4.226,0.36,51.15638595998316,PRESERVING,3.866,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,0,CONTINUE
4.226,RPRA,2,2,3.866,0.404,81.96676222411824,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.226,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.227,RPRA,1,3,4.227,0.36,51.11670934389245,PRESERVING,3.867,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.227,RPRA,2,2,3.867,0.405,82.21423771304786,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.227,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.228,RPRA,1,3,4.228,0.36,51.077073747821274,PRESERVING,3.868,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.228,RPRA,2,2,3.868,0.406,82.46186990815706,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.228,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.229,RPRA,1,3,4.229,0.36,51.03747911877214,PRESERVING,3.869,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.229,RPRA,2,2,3.869,0.407,82.7096585704493,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
