downstream_passes,successor_mm,classified_status,classification_detail,feasible,capacity_reason,optimizer_success,optimizer_message,multistart_count,decision_at_limit,residual_valid,residual_validity_detail,removal_sum_abs_mm,action_bound_violation_mm,epigraph_violation_um,terminal_thickness_abs_mm,optimal_worst_deflection_um,recoverability_margin_um
2,4.128,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.7053025658242404e-12,0.0,124.15217284801474,-24.152172848014743
2,4.129,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,5.684341886080802e-14,4.440892098500626e-16,124.27877673820804,-24.278776738208038
2,4.13,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.1032064978498966e-12,0.0,124.4053756388624,-24.405375638862395
2,4.131,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,6.679101716144942e-13,0.0,124.53196953319453,-24.531969533194527
2,4.132,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,7.958078640513122e-13,0.0,124.65855840447425,-24.65855840447425
2,4.133,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.3926637620897964e-12,0.0,124.78514223600719,-24.78514223600719
2,4.134,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.4210854715202004e-14,4.440892098500626e-16,124.9117210111429,-24.9117210111429
2,4.135,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,2.2026824808563106e-12,0.0,125.03829471327171,-25.03829471327171
2,4.136,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.552713678800501e-13,0.0,125.1648633258263,-25.164863325826303
2,4.137,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.6768808563938364e-12,0.0,125.29142683228051,-25.291426832280507
2,4.138,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.6768808563938364e-12,0.0,125.41798521614892,-25.41798521614892
2,4.139,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.126388037344441e-12,0.0,125.54453846098956,-25.544538460989557
2,4.14,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.9700686354772188e-12,4.440892098500626e-16,125.67108655039988,-25.671086550399878
2,4.141,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,125.79762946801462,-25.79762946801462
2,4.142,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,4.831690603168681e-13,0.0,125.9241671975197,-25.924167197519694
2,4.143,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.2789769243681803e-13,0.0,126.05069972263186,-26.05069972263186
2,4.144,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.0321522242738865e-12,0.0,126.17722702711617,-26.177227027116174
2,4.145,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.6910917111090384e-12,0.0,126.3037490947694,-26.3037490947694
2,4.146,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.503508428868372e-11,0.0,126.43026590943678,-26.430265909436784
2,4.147,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.1316282072803006e-13,0.0,126.55677745499955,-26.556777454999548
2,4.148,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.410605131648481e-13,0.0,126.68328371538334,-26.68328371538334
2,4.149,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,3.723243935382925e-12,4.440892098500626e-16,126.80978467455104,-26.80978467455104
2,4.15,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.666400516522117e-12,0.0,126.93628031650431,-26.93628031650431
2,4.151,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.4352963262354024e-12,0.0,127.06277062528693,-27.06277062528693
2,4.152,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,127.18925558498059,-27.189255584980586
2,4.153,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,8.384404281969182e-13,0.0,127.31573517971192,-27.315735179711922
2,4.154,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,2.4158453015843406e-13,0.0,127.44220939363949,-27.442209393639487
2,4.155,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.8474111129762605e-13,0.0,127.56867821096735,-27.56867821096735
2,4.156,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.140598892059643e-12,0.0,127.6951416159392,-27.695141615939207
2,4.157,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,5.8690829973784275e-12,0.0,127.82159959282934,-27.821599592829344
2,4.158,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,0.0,4.440892098500626e-16,127.94805212595928,-27.94805212595928
2,4.159,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,0.0,4.440892098500626e-16,128.07449919969162,-28.074499199691616
2,4.16,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.126388037344441e-13,0.0,128.20094079842306,-28.200940798423062
2,4.161,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,7.105427357601002e-12,0.0,128.32737690659013,-28.327376906590132
2,4.162,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,4.831690603168681e-12,0.0,128.45380750866656,-28.453807508666557
2,4.163,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.0516032489249483e-12,4.440892098500626e-16,128.58023258916785,-28.58023258916785
2,4.164,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,5.684341886080802e-14,0.0,128.7066521326456,-28.706652132645587
2,4.165,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.1368683772161603e-13,0.0,128.83306612369324,-28.833066123693243
2,4.166,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,6.0254023992456496e-12,4.440892098500626e-16,128.95947454693942,-28.95947454693942
2,4.167,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.410605131648481e-13,0.0,129.08587738705083,-29.08587738705083
2,4.168,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,7.105427357601002e-13,0.0,129.21227462873458,-29.212274628734576
2,4.169,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.0747847884194925e-12,0.0,129.33866625673414,-29.338666256734143
2,4.17,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,3.0127011996228248e-12,0.0,129.46505225583087,-29.46505225583087
2,4.171,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,6.252776074688882e-13,0.0,129.59143261084571,-29.591432610845715
2,4.172,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,9.777068044058979e-12,0.0,129.71780730663556,-29.717807306635564
2,4.173,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,4.547473508864641e-13,0.0,129.84417632809377,-29.844176328093766
2,4.174,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.7053025658242404e-12,0.0,129.9705396601569,-29.970539660156902
2,4.175,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,4.831690603168681e-13,0.0,130.0968972877899,-30.096897287789886
2,4.176,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,7.389644451905042e-13,0.0,130.22324919600354,-30.223249196003536
2,4.177,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,9.947598300641403e-13,0.0,130.3495953698422,-30.349595369842206
2,4.178,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,6.963318810448982e-12,4.440892098500626e-16,130.47593579438617,-30.475935794386174
2,4.179,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.751665644813329e-12,0.0,130.60227045475492,-30.602270454754915
2,4.18,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,2.5579538487363607e-13,4.440892098500626e-16,130.7285993361043,-30.72859933610431
2,4.181,FAIL,continuous_reference_residual_valid_optimizer_reported_non_success,True,,False,Positive directional derivative for linesearch,7,FAIL,True,residual_checks_pass,0.0,0.0,5.502928956957476e-08,4.440892098500626e-16,130.8549224236283,-30.854922423628295
2,4.182,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,5.5990767577895895e-12,0.0,130.98123970255102,-30.981239702551022
2,4.183,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,3.893774191965349e-12,4.440892098500626e-16,131.10755115814322,-31.107551158143224
2,4.184,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,6.622258297284134e-12,0.0,131.2338567757067,-31.2338567757067
2,4.185,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,5.400124791776761e-13,4.440892098500626e-16,131.36015654057655,-31.360156540576554
2,4.186,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,6.536993168992922e-13,0.0,131.48645043813144,-31.486450438131442
2,4.187,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.2737367544323206e-13,0.0,131.61273845378125,-31.612738453781247
2,4.188,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,9.663381206337363e-13,0.0,131.73902057297454,-31.73902057297454
2,4.189,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.069544618483633e-12,0.0,131.86529678119342,-31.865296781193422
2,4.19,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,0.0,4.440892098500626e-16,131.99156706395806,-31.99156706395806
2,4.191,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,132.11783140682402,-32.117831406824024
2,4.192,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,5.115907697472721e-13,0.0,132.24408979538256,-32.244089795382564
2,4.193,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.979039320256561e-13,0.0,132.370342215259,-32.370342215259
