terminal_case,epsilon_um,start_state_mm,policy,step,remaining_passes_before,state_before_mm,selected_action_mm,immediate_deflection_um,selected_action_class,successor_mm,remaining_passes_after,step_status,failure_detail
T0,0,4.207,MYOPIC,2,2,3.847,0.36,69.71553464207709,DESTROYING,3.487,1,CONTINUE,
T0,0,4.207,MYOPIC,3,1,3.487,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.208,MYOPIC,1,3,4.208,0.36,51.87764038561463,PRESERVING,3.848,2,CONTINUE,
T0,0,4.208,MYOPIC,2,2,3.848,0.36,69.65559007559177,DESTROYING,3.488,1,CONTINUE,
T0,0,4.208,MYOPIC,3,1,3.488,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.209,MYOPIC,1,3,4.209,0.36,51.83721625206807,PRESERVING,3.849,2,CONTINUE,
T0,0,4.209,MYOPIC,2,2,3.849,0.36,69.59571421347596,DESTROYING,3.489,1,CONTINUE,
T0,0,4.209,MYOPIC,3,1,3.489,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.21,MYOPIC,1,3,4.21,0.36,51.79683410671292,PRESERVING,3.85,2,CONTINUE,
T0,0,4.21,MYOPIC,2,2,3.85,0.36,69.53590695732746,DESTROYING,3.49,1,CONTINUE,
T0,0,4.21,MYOPIC,3,1,3.49,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.211,MYOPIC,1,3,4.211,0.36,51.756493895047356,PRESERVING,3.851,2,CONTINUE,
T0,0,4.211,MYOPIC,2,2,3.851,0.36,69.47616820891334,DESTROYING,3.491,1,CONTINUE,
T0,0,4.211,MYOPIC,3,1,3.491,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.212,MYOPIC,1,3,4.212,0.36,51.71619556265447,PRESERVING,3.852,2,CONTINUE,
T0,0,4.212,MYOPIC,2,2,3.852,0.36,69.41649787016921,DESTROYING,3.492,1,CONTINUE,
T0,0,4.212,MYOPIC,3,1,3.492,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.213,MYOPIC,1,3,4.213,0.36,51.675939055202036,PRESERVING,3.853,2,CONTINUE,
T0,0,4.213,MYOPIC,2,2,3.853,0.36,69.35689584319914,DESTROYING,3.493,1,CONTINUE,
T0,0,4.213,MYOPIC,3,1,3.493,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.214,MYOPIC,1,3,4.214,0.36,51.63572431844241,PRESERVING,3.854,2,CONTINUE,
T0,0,4.214,MYOPIC,2,2,3.854,0.36,69.2973620302753,DESTROYING,3.494,1,CONTINUE,
T0,0,4.214,MYOPIC,3,1,3.494,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.215,MYOPIC,1,3,4.215,0.36,51.59555129821238,PRESERVING,3.855,2,CONTINUE,
T0,0,4.215,MYOPIC,2,2,3.855,0.36,69.23789633383763,DESTROYING,3.495,1,CONTINUE,
T0,0,4.215,MYOPIC,3,1,3.495,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.216,MYOPIC,1,3,4.216,0.36,51.55541994043291,PRESERVING,3.856,2,CONTINUE,
T0,0,4.216,MYOPIC,2,2,3.856,0.36,69.17849865649329,DESTROYING,3.496,1,CONTINUE,
T0,0,4.216,MYOPIC,3,1,3.496,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.217,MYOPIC,1,3,4.217,0.36,51.515330191109136,PRESERVING,3.857,2,CONTINUE,
T0,0,4.217,MYOPIC,2,2,3.857,0.36,69.11916890101668,DESTROYING,3.497,1,CONTINUE,
T0,0,4.217,MYOPIC,3,1,3.497,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.218,MYOPIC,1,3,4.218,0.36,51.475281996330175,PRESERVING,3.858,2,CONTINUE,
T0,0,4.218,MYOPIC,2,2,3.858,0.36,69.05990697034875,DESTROYING,3.498,1,CONTINUE,
T0,0,4.218,MYOPIC,3,1,3.498,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.219,MYOPIC,1,3,4.219,0.36,51.43527530226886,PRESERVING,3.859,2,CONTINUE,
T0,0,4.219,MYOPIC,2,2,3.859,0.36,69.00071276759702,DESTROYING,3.499,1,CONTINUE,
T0,0,4.219,MYOPIC,3,1,3.499,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.22,MYOPIC,1,3,4.22,0.36,51.39531005518171,PRESERVING,3.86,2,CONTINUE,
T0,0,4.22,MYOPIC,2,2,3.86,0.36,68.94158619603488,DESTROYING,3.5,1,CONTINUE,
T0,0,4.22,MYOPIC,3,1,3.5,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.221,MYOPIC,1,3,4.221,0.36,51.35538620140876,PRESERVING,3.861,2,CONTINUE,
T0,0,4.221,MYOPIC,2,2,3.861,0.36,68.88252715910161,DESTROYING,3.501,1,CONTINUE,
T0,0,4.221,MYOPIC,3,1,3.501,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.222,MYOPIC,1,3,4.222,0.36,51.315503687373365,PRESERVING,3.862,2,CONTINUE,
T0,0,4.222,MYOPIC,2,2,3.862,0.36,68.82353556040178,DESTROYING,3.502,1,CONTINUE,
T0,0,4.222,MYOPIC,3,1,3.502,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.223,MYOPIC,1,3,4.223,0.36,51.275662459582094,PRESERVING,3.863,2,CONTINUE,
T0,0,4.223,MYOPIC,2,2,3.863,0.36,68.76461130370494,DESTROYING,3.503,1,CONTINUE,
T0,0,4.223,MYOPIC,3,1,3.503,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.224,MYOPIC,1,3,4.224,0.36,51.2358624646245,PRESERVING,3.864,2,CONTINUE,
T0,0,4.224,MYOPIC,2,2,3.864,0.36,68.70575429294561,DESTROYING,3.504,1,CONTINUE,
T0,0,4.224,MYOPIC,3,1,3.504,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.225,MYOPIC,1,3,4.225,0.36,51.196103649173104,PRESERVING,3.865,2,CONTINUE,
T0,0,4.225,MYOPIC,2,2,3.865,0.36,68.64696443222255,DESTROYING,3.505,1,CONTINUE,
